regiao_id,regiao,estado_id,estado,estado_abrev,regional_id,regional_nome,municipio_id,municipio_id_sdv,municipio
1,Norte,11,Rondônia,RO,11001,"Vale do Jamari",1100023,110002,Ariquemes
1,Norte,11,Rondônia,RO,11001,"Vale do Jamari",1100130,110013,"Machadinho D'Oeste"
1,Norte,11,Rondônia,RO,11001,"Vale do Jamari",1100262,110026,"Rio Crespo"
1,Norte,11,Rondônia,RO,11001,"Vale do Jamari",1100403,110040,"Alto Paraíso"
1,Norte,11,Rondônia,RO,11001,"Vale do Jamari",1100452,110045,Buritis
1,Norte,11,Rondônia,RO,11001,"Vale do Jamari",1100601,110060,Cacaulândia
1,Norte,11,Rondônia,RO,11001,"Vale do Jamari",1100700,110070,"Campo Novo de Rondônia"
1,Norte,11,Rondônia,RO,11001,"Vale do Jamari",1100940,110094,Cujubim
1,Norte,11,Rondônia,RO,11001,"Vale do Jamari",1101401,110140,"Monte Negro"
1,Norte,11,Rondônia,RO,11002,Café,1100049,110004,Cacoal
1,Norte,11,Rondônia,RO,11002,Café,1100098,110009,"Espigão D'Oeste"
1,Norte,11,Rondônia,RO,11002,Café,1100189,110018,"Pimenta Bueno"
1,Norte,11,Rondônia,RO,11002,Café,1101203,110120,"Ministro Andreazza"
1,Norte,11,Rondônia,RO,11002,Café,1101476,110147,"Primavera de Rondônia"
1,Norte,11,Rondônia,RO,11002,Café,1101484,110148,"São Felipe D'Oeste"
1,Norte,11,Rondônia,RO,11003,Central,1100114,110011,Jaru
1,Norte,11,Rondônia,RO,11003,Central,1100122,110012,Ji-Paraná
1,Norte,11,Rondônia,RO,11003,Central,1100155,110015,"Ouro Preto do Oeste"
1,Norte,11,Rondônia,RO,11003,Central,1100254,110025,"Presidente Médici"
1,Norte,11,Rondônia,RO,11003,Central,1100320,110032,"São Miguel do Guaporé"
1,Norte,11,Rondônia,RO,11003,Central,1100346,110034,"Alvorada D'Oeste"
1,Norte,11,Rondônia,RO,11003,Central,1101005,110100,"Governador Jorge Teixeira"
1,Norte,11,Rondônia,RO,11003,Central,1101302,110130,"Mirante da Serra"
1,Norte,11,Rondônia,RO,11003,Central,1101435,110143,"Nova União"
1,Norte,11,Rondônia,RO,11003,Central,1101559,110155,Teixeirópolis
1,Norte,11,Rondônia,RO,11003,Central,1101609,110160,Theobroma
1,Norte,11,Rondônia,RO,11003,Central,1101708,110170,Urupá
1,Norte,11,Rondônia,RO,11003,Central,1101757,110175,"Vale do Anari"
1,Norte,11,Rondônia,RO,11003,Central,1101807,110180,"Vale do Paraíso"
1,Norte,11,Rondônia,RO,11004,Madeira-Mamoré,1100106,110010,Guajará-Mirim
1,Norte,11,Rondônia,RO,11004,Madeira-Mamoré,1100205,110020,"Porto Velho"
1,Norte,11,Rondônia,RO,11004,Madeira-Mamoré,1100338,110033,"Nova Mamoré"
